,year,category,award,person,episode_id
1,2019,Primetime Emmy,Outstanding Animated Program,James L. Brooks,S30-E11
2,2019,Primetime Emmy,Outstanding Animated Program,Matt Groening,S30-E11
3,2019,Primetime Emmy,Outstanding Animated Program,Al Jean,S30-E11
4,2019,Primetime Emmy,Outstanding Animated Program,Matt Selman,S30-E11
5,2019,Primetime Emmy,Outstanding Animated Program,John Frink,S30-E11
6,2019,Primetime Emmy,Outstanding Animated Program,J. Stewart Burns,S30-E11
7,2019,Primetime Emmy,Outstanding Animated Program,Bill Odenkirk,S30-E11
8,2019,Primetime Emmy,Outstanding Animated Program,Joel H. Cohen,S30-E11
9,2019,Primetime Emmy,Outstanding Animated Program,Rob LaZebnik,S30-E11
10,2019,Primetime Emmy,Outstanding Animated Program,Jeff Westbrook,S30-E11
11,2019,Primetime Emmy,Outstanding Animated Program,Brian Kelley,S30-E11
12,2019,Primetime Emmy,Outstanding Animated Program,Dan Vebber,S30-E11
13,2019,Primetime Emmy,Outstanding Animated Program,Ryan Koh,S30-E11
14,2019,Primetime Emmy,Outstanding Animated Program,Richard Raynis,S30-E11
15,2019,Primetime Emmy,Outstanding Animated Program,Tom Klein,S30-E11
16,2019,Primetime Emmy,Outstanding Animated Program,Andrea Romero,S30-E11
17,2019,Primetime Emmy,Outstanding Animated Program,Mike B. Anderson,S30-E11
18,2019,Primetime Emmy,Outstanding Animated Program,Michael Price,S30-E11
19,2019,Primetime Emmy,Outstanding Animated Program,Rob Oliver,S30-E11
20,2019,Primetime Emmy,Outstanding Animated Program,Eddie Rosas,S30-E11
21,2019,Primetime Emmy,Outstanding Animated Program,Carlton Batten,S30-E11
24,2018,Primetime Emmy,Outstanding Individual Achievement in Animation,Caroline Cruikshank,S29-E2
25,2018,Primetime Emmy,Outstanding Individual Achievement in Animation,Fox Network,S29-E2
95,2015,Primetime Emmy,Outstanding Character Voice-Over Performance,Hank Azaria,S26-E15
122,2014,Primetime Emmy,Outstanding Character Voice-Over Performance,Harry Shearer,S25-E3
123,2014,Primetime Emmy,Outstanding Character Voice-Over Performance,Fox Network,S25-E3
124,2014,Primetime Emmy,Outstanding Individual Achievement in Animation,Charles Ragins,S25-E2
125,2014,Primetime Emmy,Outstanding Individual Achievement in Animation,Fox Network,S25-E2
126,2014,Primetime Emmy,Outstanding Individual Achievement in Animation,Dima Malanitchev,S25-E2
127,2014,Primetime Emmy,Outstanding Individual Achievement in Animation,Fox Network,S25-E2
131,2013,Primetime Emmy,Outstanding Individual Achievement in Animation,Paul Wee,S24-E2
199,2010,Primetime Emmy,Outstanding Voice-Over Performance,Anne Hathaway,S21-E10
200,2010,Primetime Emmy,Outstanding Individual in Animation,Charles Ragins,S21-E14
225,2009,Primetime Emmy,Outstanding Voice-Over Performance,Dan Castellaneta,S20-E18
249,2008,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),James L. Brooks,S19-E9
250,2008,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Matt Groening,S19-E9
251,2008,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Al Jean,S19-E9
252,2008,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Ian Maxtone-Graham,S19-E9
253,2008,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Matt Selman,S19-E9
254,2008,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Tim Long,S19-E9
255,2008,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),John Frink,S19-E9
256,2008,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Kevin Curran,S19-E9
257,2008,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Michael Price,S19-E9
258,2008,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Bill Odenkirk,S19-E9
259,2008,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Marc Wilmore,S19-E9
260,2008,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Joel H. Cohen,S19-E9
261,2008,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Ron Hauge,S19-E9
262,2008,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Rob LaZebnik,S19-E9
263,2008,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Laurie Biernacki,S19-E9
264,2008,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Rick Polizzi,S19-E9
265,2008,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),J. Stewart Burns,S19-E9
266,2008,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Chuck Sheetz,S19-E9
267,2008,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Mark Kirkland,S19-E9
268,2008,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Jess Espanola,S19-E9
269,2008,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Patty Shinagawa,S19-E9
292,2006,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),James L. Brooks,S17-E13
293,2006,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Matt Groening,S17-E13
294,2006,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Al Jean,S17-E13
295,2006,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Matt Selman,S17-E13
296,2006,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Carolyn Omine,S17-E13
297,2006,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Tim Long,S17-E13
298,2006,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),John Frink,S17-E13
299,2006,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Don Payne,S17-E13
300,2006,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Dana Gould,S17-E13
301,2006,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Kevin Curran,S17-E13
302,2006,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),J. Stewart Burns,S17-E13
303,2006,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Michael Price,S17-E13
304,2006,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Bill Odenkirk,S17-E13
305,2006,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Joel H. Cohen,S17-E13
306,2006,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Laurie Biernacki,S17-E13
307,2006,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Rick Polizzi,S17-E13
308,2006,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Ian Maxtone-Graham,S17-E13
309,2006,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),David Silverman,S17-E13
310,2006,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Raymond S. Persi,S17-E13
311,2006,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Shannon O'Connor,S17-E13
312,2006,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Richard Gasparian,S17-E13
313,2006,Primetime Emmy,Outstanding Voice-Over Performance,Kelsey Grammer,S17-E8
338,2004,Primetime Emmy,Outstanding Voice-Over Performance,Dan Castellaneta,S15-E6
339,2004,Primetime Emmy,Outstanding Voice-Over Performance,20th Century Fox Television,S15-E6
364,2003,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),James L. Brooks,S14-E17
365,2003,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Matt Groening,S14-E17
366,2003,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Al Jean,S14-E17
367,2003,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Ian Maxtone-Graham,S14-E17
368,2003,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Matt Selman,S14-E17
369,2003,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Dan Greaney,S14-E17
370,2003,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Carolyn Omine,S14-E17
371,2003,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Tim Long,S14-E17
372,2003,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),John Frink,S14-E17
373,2003,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Don Payne,S14-E17
374,2003,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Kevin Curran,S14-E17
375,2003,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Dana Gould,S14-E17
376,2003,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Larina Jean Adamson,S14-E17
377,2003,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Michael Wolf,S14-E17
378,2003,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Laurie Biernacki,S14-E17
379,2003,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Rick Polizzi,S14-E17
380,2003,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Matt Warburton,S14-E17
381,2003,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Mark Kirkland,S14-E17
382,2003,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Jim Reardon,S14-E17
383,2003,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Matthew Faughnan,S14-E17
384,2003,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Milton Gray,S14-E17
385,2003,Primetime Emmy,Outstanding Voice-Over Performance,Hank Azaria,S14-E22
427,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),James L. Brooks,S12-E9
428,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Matt Groening,S12-E9
429,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Mike Scully,S12-E9
430,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Al Jean,S12-E9
431,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),George Meyer,S12-E9
432,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Sam Simon,S12-E9
433,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Ian Maxtone-Graham,S12-E9
434,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Ron Hauge,S12-E9
435,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Dan Greaney,S12-E9
436,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Frank Mula,S12-E9
437,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Rob LaZebnik,S12-E9
438,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Julie Thacker,S12-E9
439,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Larina Jean Adamson,S12-E9
440,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Larry Doyle,S12-E9
441,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Tom Martin,S12-E9
442,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Carolyn Omine,S12-E9
443,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),John Frink,S12-E9
444,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Don Payne,S12-E9
445,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Matt Selman,S12-E9
446,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Tim Long,S12-E9
447,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Mike Reiss,S12-E9
448,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Tom Gammill,S12-E9
449,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Max Pross,S12-E9
450,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),David Mirkin,S12-E9
451,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Richard Raynis,S12-E9
452,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Bonita Pietila,S12-E9
453,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Denise Sirkot,S12-E9
454,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Richard Sakai,S12-E9
455,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Jim Reardon,S12-E9
456,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Mike B. Anderson,S12-E9
457,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),John W. Hyde,S12-E9
458,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Jon F. Vein,S12-E9
459,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),John Bush,S12-E9
460,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Michael Wolf,S12-E9
461,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Laurie Biernacki,S12-E9
462,2001,Primetime Emmy,Outstanding Voice-Over Performance,Hank Azaria,S12-E11
464,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Matt Groening,S11-E22
465,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),James L. Brooks,S11-E22
466,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Al Jean,S11-E22
467,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Sam Simon,S11-E22
468,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),George Meyer,S11-E22
469,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Mike Scully,S11-E22
470,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Dan Greaney,S11-E22
471,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Frank Mula,S11-E22
472,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Ian Maxtone-Graham,S11-E22
473,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Rob LaZebnik,S11-E22
474,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Ron Hauge,S11-E22
475,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Julie Thacker,S11-E22
476,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Larina Jean Adamson,S11-E22
477,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Bonita Pietila,S11-E22
478,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Carolyn Omine,S11-E22
479,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Denise Sirkot,S11-E22
480,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Don Payne,S11-E22
481,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Richard Raynis,S11-E22
482,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Richard Sakai,S11-E22
483,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Tom Martin,S11-E22
484,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),John Frink,S11-E22
485,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Larry Doyle,S11-E22
486,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Matt Selman,S11-E22
487,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),David Pritchard,S11-E22
488,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Lolee Aries,S11-E22
489,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Michael Wolf,S11-E22
490,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Tim Long,S11-E22
491,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Jim Reardon,S11-E22
492,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Mark Kirkland,S11-E22
531,1998,Primetime Emmy,Outstanding Music and Lyrics,Alf Clausen,S9-E1
532,1998,Primetime Emmy,Outstanding Music and Lyrics,Ken Keeler,S9-E1
533,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Mike Scully,S9-E22
534,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Matt Groening,S9-E22
535,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),James L. Brooks,S9-E22
536,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Sam Simon,S9-E22
537,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),George Meyer,S9-E22
538,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),David X. Cohen,S9-E22
539,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Richard Appel,S9-E22
540,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Dan Greaney,S9-E22
541,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Ron Hauge,S9-E22
542,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Donick Cary,S9-E22
543,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Colin A.B.V. Lewis,S9-E22
544,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Bonita Pietila,S9-E22
545,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),J. Michael Mendel,S9-E22
546,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Richard Raynis,S9-E22
547,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Richard Sakai,S9-E22
548,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Denise Sirkot,S9-E22
549,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Ian Maxtone-Graham,S9-E22
550,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),David Mirkin,S9-E22
551,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Jace Richdale,S9-E22
552,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Bill Oakley,S9-E22
553,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Josh Weinstein,S9-E22
554,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Phil Roman,S9-E22
555,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Lolee Aries,S9-E22
556,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Michael Wolf,S9-E22
557,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Brian Scully,S9-E22
558,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Julie Thacker,S9-E22
559,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Jim Reardon,S9-E22
560,1998,Primetime Emmy,Outstanding Voice-Over Performance,Hank Azaria,desconocido
563,1997,Primetime Emmy,Outstanding Music and Lyrics,Alf Clausen,S8-E5
564,1997,Primetime Emmy,Outstanding Music and Lyrics,Ken Keeler,S8-E5
565,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Bill Oakley,S8-E15
566,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Josh Weinstein,S8-E15
567,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Matt Groening,S8-E15
568,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),James L. Brooks,S8-E15
569,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Sam Simon,S8-E15
570,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Mike Scully,S8-E15
571,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),George Meyer,S8-E15
