,year,category,award,person,episode_id
572,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Steve Tompkins,S8-E15
573,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Phil Roman,S8-E15
574,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Jonathan Collier,S8-E15
575,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Ken Keeler,S8-E15
576,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),David X. Cohen,S8-E15
577,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Richard Appel,S8-E15
578,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),J. Michael Mendel,S8-E15
579,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Richard Raynis,S8-E15
580,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),David Silverman,S8-E15
581,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Richard Sakai,S8-E15
582,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Denise Sirkot,S8-E15
583,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Colin A.B.V. Lewis,S8-E15
584,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),David Mirkin,S8-E15
585,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Ian Maxtone-Graham,S8-E15
586,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Dan McGrath,S8-E15
587,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Bill Schultz,S8-E15
588,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Michael Wolf,S8-E15
589,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Mike B. Anderson,S8-E15
590,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Ron Hauge,S8-E15
625,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),David Mirkin,S6-E19
626,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),James L. Brooks,S6-E19
627,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Matt Groening,S6-E19
628,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Sam Simon,S6-E19
629,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Jace Richdale,S6-E19
630,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),George Meyer,S6-E19
631,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),J. Michael Mendel,S6-E19
632,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Greg Daniels,S6-E19
633,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Bill Oakley,S6-E19
634,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),David Sacks,S6-E19
635,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Josh Weinstein,S6-E19
636,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Jonathan Collier,S6-E19
637,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Richard Raynis,S6-E19
638,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Richard Sakai,S6-E19
639,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Mike Scully,S6-E19
640,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),David Silverman,S6-E19
641,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Al Jean,S6-E19
642,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Mike Reiss,S6-E19
643,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Phil Roman,S6-E19
644,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Bill Schultz,S6-E19
645,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Michael Wolf,S6-E19
646,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Jim Reardon,S6-E19
647,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),20th Century Fox Television,S6-E19
658,1993,Primetime Emmy,Outstanding Voice-Over Performance,Dan Castellaneta,S4-E9
664,1992,Primetime Emmy,Outstanding Voice-Over Performance,Nancy Cartwright,S3-E18
665,1992,Primetime Emmy,Outstanding Voice-Over Performance,Jackie Mason,S3-E6
666,1992,Primetime Emmy,Outstanding Voice-Over Performance,Julie Kavner,S3-E12
667,1992,Primetime Emmy,Outstanding Voice-Over Performance,Yeardley Smith,S3-E14
668,1992,Primetime Emmy,Outstanding Voice-Over Performance,Marcia Wallace,S3-E16
669,1992,Primetime Emmy,Outstanding Voice-Over Performance,Dan Castellaneta,S3-E8
690,1991,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),James L. Brooks,desconocido
691,1991,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Matt Groening,desconocido
692,1991,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Sam Simon,desconocido
693,1991,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Al Jean,desconocido
694,1991,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Mike Reiss,desconocido
695,1991,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Jay Kogen,desconocido
696,1991,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Wallace Wolodarsky,desconocido
697,1991,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Richard Sakai,desconocido
698,1991,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Larina Jean Adamson,desconocido
699,1991,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),George Meyer,desconocido
700,1991,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Gabor Csupo,desconocido
701,1991,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Sherry Gunther,desconocido
702,1991,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Steve Pepoon,desconocido
703,1991,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Rich Moore,desconocido
704,1991,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),20th Century Fox Television,desconocido
709,1990,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),James L. Brooks,desconocido
710,1990,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Matt Groening,desconocido
711,1990,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Sam Simon,desconocido
712,1990,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Richard Sakai,desconocido
713,1990,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Al Jean,desconocido
714,1990,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Mike Reiss,desconocido
715,1990,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Larina Jean Adamson,desconocido
716,1990,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Margot Pipkin,desconocido
717,1990,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Gabor Csupo,desconocido
718,1990,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),David Silverman,desconocido
719,1990,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),John Swartzwelder,desconocido
720,1990,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Gracie Films,desconocido
721,1990,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),20th Century Fox Television,desconocido
753,1993,Saturn Award,Best Genre Television Series,desconocido,desconocido
754,2003,AFI Award,TV Program of the Year,desconocido,desconocido
755,1996,E Pluribus Unum Award,Television Series - Comedy,desconocido,desconocido
756,2001,American Comedy Award,Funniest Television Series - Animated,desconocido,desconocido
761,2016,Annie,Best General Audience Animated TV/Broadcast Production,desconocido,S27-E4
763,2015,Annie,Best General Audience Animated TV/Broadcast Production,desconocido,desconocido
802,2012,Annie,Directing in a Television Production,Matthew Nastuk,desconocido
803,2012,Annie,Writing in a Television Production,Carolyn Omine,S23-E3
804,2012,Annie,Best General Audience Animated TV Production,desconocido,desconocido
817,2010,Annie,Writing in a Television Production,Daniel Chun,S21-E4
825,2008,Annie,Best Music in an Animated Television Production,Alf Clausen,S18-E14
826,2008,Annie,Best Music in an Animated Television Production,Michael Price,S18-E14
827,2008,Annie,Best Writing in an Animated Television Production,Ian Maxtone-Graham,S18-E21
828,2008,Annie,Best Writing in an Animated Television Production,Billy Kimball,S18-E21
829,2007,Annie,Best Writing in an Animated Television Production,Ian Maxtone-Graham,S17-E13
830,2004,Annie,Outstanding Achievement in an Animated Television Production,desconocido,desconocido
831,2004,Annie,Outstanding Directing in an Animated Television Production,Steven Dean Moore,S14-E16
832,2004,Annie,Outstanding Music in an Animated Television Production,Alf Clausen,S14-E18
833,2004,Annie,Outstanding Music in an Animated Television Production,Ian Maxtone-Graham,S14-E18
834,2004,Annie,Outstanding Music in an Animated Television Production,Ken Keeler,S14-E18
835,2004,Annie,Outstanding Writing in an Animated Television Production,Matthew Warburton,S14-E17
836,2003,Annie,Outstanding Achievement in an Animated Television Production,desconocido,desconocido
837,2001,Annie,Outstanding Achievement in a Primetime or Late Night Animated Television Production,desconocido,desconocido
839,2000,Annie,Outstanding Achievement in a Primetime or Late Night Animated Television Program,desconocido,desconocido
840,2000,Annie,Outstanding Individual Achievement for Music in an Animated Television Production,Alf Clausen,S11-E22
841,1999,Annie,Outstanding Individual Achievement for Writing in an Animated Television Production,Tim Long,S10-E18
842,1999,Annie,Outstanding Individual Achievement for Writing in an Animated Television Production,Larry Doyle,S10-E18
843,1999,Annie,Outstanding Individual Achievement for Writing in an Animated Television Production,Matt Selman,S10-E18
844,1999,Annie,Outstanding Achievement in an Animated Television Program,desconocido,desconocido
845,1998,Annie,Outstanding Achievement in an Animated Primetime or Late Night Television Program,desconocido,desconocido
846,1998,Annie,Outstanding Individual Achievement for Music in an Animated Television Production,Alf Clausen,S9-E1
847,1998,Annie,Outstanding Individual Achievement for Music in an Animated Television Production,Ken Keeler,S9-E1
848,1998,Annie,Outstanding Individual Achievement for Directing in an Animated Television Production,Jim Reardon,S9-E22
849,1997,Annie,Best Animated TV Program,desconocido,desconocido
850,1997,Annie,Best Individual Achievement: Music in a TV Production,Alf Clausen,desconocido
851,1997,Annie,Best Individual Achievement: Directing in a TV Production,Mike B. Anderson,S8-E15
852,1997,Annie,Best Individual Achievement: Producing in a TV Production,Al Jean,S8-E10
853,1997,Annie,Best Individual Achievement: Producing in a TV Production,Mike Reiss,S8-E10
855,1996,Annie,Best Animated Television Program,desconocido,desconocido
856,1995,Annie,Best Animated Television Program,desconocido,desconocido
857,1995,Annie,Voice Acting in the Field of Animation,Nancy Cartwright,desconocido
858,1994,Annie,Best Animated Television Program,desconocido,desconocido
860,1993,Annie,Best Animated Television Program,desconocido,desconocido
861,1992,Annie,Best Animated Television Program,desconocido,desconocido
862,1992,Annie,Outstanding Individual Achievement in the Field of Animation,David Silverman,desconocido
863,2013,ASCAP Award,Top Television Series,Alf Clausen,desconocido
864,2004,ASCAP Award,Top TV Series,Alf Clausen,desconocido
865,2003,ASCAP Award,Top TV Series,Alf Clausen,desconocido
866,2002,ASCAP Award,Top TV Series,Alf Clausen,desconocido
867,2001,ASCAP Award,Top TV Series,Alf Clausen,desconocido
868,1996,ASCAP Award,Top TV Series,Alf Clausen,desconocido
869,1995,ASCAP Award,Top TV Series,Alf Clausen,desconocido
871,2015,BTVA Television Voice Acting Award,Best Male Vocal Performance in a Television Series in a Guest Role - Comedy/Musical,Kelsey Grammer,desconocido
885,2014,BTVA People's Choice Voice Acting Award,Best Female Vocal Performance in a Television Series in a Supporting Role - Comedy/Musical,Marcia Wallace,desconocido
909,2012,BTVA Television Voice Acting Award,Best Female Lead Vocal Performance in a Television Series,Nancy Cartwright,desconocido
910,2003,BMI TV Music Award,BMI TV Music Award,Danny Elfman,desconocido
911,1998,BMI TV Music Award,BMI TV Music Award,Danny Elfman,desconocido
912,1996,BMI TV Music Award,BMI TV Music Award,Danny Elfman,desconocido
914,2005,British Comedy Award,Best International Comedy Show,desconocido,desconocido
915,2004,British Comedy Award,Best International Comedy Show,desconocido,desconocido
917,2000,British Comedy Award,Best International Comedy TV Show,desconocido,desconocido
921,2000,CINE Golden Eagle,Animation,desconocido,S11-E4
927,2006,DVDX Award,"Overall DVD, TV Program",Denise Sirkot,desconocido
928,2006,DVDX Award,"Overall DVD, TV Program",John Albarian,desconocido
929,2006,DVDX Award,"Overall DVD, TV Program",20th Century Fox Home Entertainment,desconocido
942,2004,EMA Award,Television Episodic Comedy,desconocido,S15-E5
943,1997,EMA Award,Television Episodic Comedy,desconocido,S8-E21
944,1996,EMA Award,TV Comedy,desconocido,S7-E5
945,1994,EMA Award,TV Comedy,desconocido,S5-E17
946,1991,EMA Award,TV Comedy,desconocido,S2-E4
947,2009,Sid Caesar Comedy Award,Sid Caesar Comedy Award,Fox Network,S19-E17
948,1998,GLAAD Media Award,Outstanding TV - Individual Episode,desconocido,S8-E15
956,2010,Gold Derby TV Award,Animated Series,desconocido,desconocido
958,2007,Gold Derby TV Award,Animated Series,desconocido,desconocido
959,2006,Gold Derby TV Award,Animated Series,desconocido,desconocido
961,2017,Golden Trailer,Best Animation/Family (TV Spot / Trailer /Teaser for a Series),FX Network,desconocido
962,2017,Golden Trailer,Most Original Poster,FX Network,desconocido
963,2017,Golden Trailer,Best Comedy TV Series Poster,FX Network,desconocido
964,2017,Golden Trailer,Best Comedy TV Series Poster,The Refinery,desconocido
972,2016,Special Award,Special Prize for the dubbing of a longtime quality product,desconocido,desconocido
974,2013,Image Award,Outstanding Writing in a Comedy Series,Marc Wilmore,S23-E20
977,1995,Monitor,"Best Effects, Special Visual Effects",Simon Haslett,desconocido
978,2017,Jupiter Award,Best International TV Series,desconocido,desconocido
988,2002,Blimp Award,Favorite Cartoon,desconocido,desconocido
995,1991,Blimp Award,Favorite TV Show,desconocido,desconocido
996,2004,Leggio d'oro,Best Cartoon Voice,Monica Ward,desconocido
1003,1998,Golden Reel Award,Best Sound Editing - Television Animated Specials,Bobby Mackston,S9-E4
1004,1998,Golden Reel Award,Best Sound Editing - Television Animated Specials,Travis Powers,S9-E4
1005,1998,Golden Reel Award,Best Sound Editing - Television Animated Specials,Norm MacLeod,S9-E4
1006,1998,Golden Reel Award,Best Sound Editing - Television Animated Specials,Terry Greene,S9-E4
1007,2002,National Music Award,Favourite TV Theme,desconocido,desconocido
1010,2019,OFTA Television Award,Best Animated Program,desconocido,desconocido
1015,2016,OFTA Television Award,Best Animated Program,desconocido,desconocido
1020,2009,OFTA Television Award,Best Animated Series,desconocido,desconocido
1021,2009,OFTA Television Award,Best Voice-Over Performance,Hank Azaria,desconocido
1028,2007,OFTA Television Award,Best Animated Series,desconocido,desconocido
1031,2006,OFTA Television Award,Best Voice-Over Performance,Dan Castellaneta,desconocido
1035,2005,OFTA TV Hall of Fame,Television Programs,desconocido,desconocido
1036,2005,OFTA Television Award,Best Animated Series,desconocido,desconocido
1040,2004,OFTA Television Award,Best Animated Series,desconocido,desconocido
1041,2004,OFTA Television Award,Best Voice-Over Performance,Hank Azaria,desconocido
1044,2003,OFTA Television Award,Best Animated Series,desconocido,desconocido
1045,2003,OFTA Television Award,Best Voice-Over Performance,Hank Azaria,desconocido
1050,2002,OFTA Television Award,Best Animated Series,desconocido,desconocido
1051,2002,OFTA Television Award,Best Voice-Over Performance,Hank Azaria,desconocido
1055,2001,OFTA Television Award,Best Animated Series,desconocido,desconocido
1064,1999,OFTA Television Award,Best Animated Series,desconocido,desconocido
1068,1998,OFTA Television Award,Best Animated Series,desconocido,desconocido
1069,1998,OFTA Television Award,Best Voice-Over Performance,Hank Azaria,desconocido
1070,1998,OFTA Television Award,Best Writing in a Comedy Series,desconocido,desconocido
1079,1997,OFTA Television Award,Best Animated Series,desconocido,desconocido
1080,1997,OFTA Television Award,Best Writing in a Comedy Series,desconocido,desconocido
1084,1996,Grand Prize,Best Television Production,Tim Johnson,S7-E6
1085,2017,People's Choice Award,Favorite Animated TV Show,desconocido,desconocido
1086,2016,People's Choice Award,Favorite Animated TV Show,desconocido,desconocido
1087,2015,People's Choice Award,Favorite Animated TV Show,desconocido,desconocido
1088,2011,People's Choice Award,Favorite TV Family,desconocido,desconocido
1089,2009,People's Choice Award,Favorite Animated Comedy,desconocido,desconocido
1090,2008,People's Choice Award,Favorite Animated TV Comedy,desconocido,desconocido
1091,2007,People's Choice Award,Favorite TV Comedy - Animated,desconocido,desconocido
1093,1991,People's Choice Award,Favorite New TV Comedy Series,desconocido,desconocido
1098,2006,Satellite Award,Best DVD Release of a TV Show,desconocido,desconocido
1103,2014,Teen Choice Award,Choice TV Animated Show,desconocido,desconocido
1105,2012,Teen Choice Award,Choice TV: Animated Show,Gracie Films,desconocido
1106,2012,Teen Choice Award,Choice TV: Animated Show,20th Century Fox Television,desconocido
1107,2011,Teen Choice Award,Choice TV: Animated Show,desconocido,desconocido
1110,2007,Teen Choice Award,Choice TV: Animated Show,desconocido,desconocido
1126,1990,TCA Award,Outstanding Achievement in Comedy,desconocido,desconocido
1129,2011,TP de Oro,Best Foreign Series (Mejor Serie Extranjera),desconocido,desconocido
1130,2010,TP de Oro,Best Foreign Series (Mejor Serie Extranjera),desconocido,desconocido
1132,2008,TP de Oro,Best Animated Series (Mejor Serie de Animación),desconocido,desconocido
1134,2005,TP de Oro,Best Animated Series (Mejor Serie de Animación),desconocido,desconocido
1135,2004,TP de Oro,Best Animation Series (Mejor Serie de Animación),desconocido,desconocido
1136,2003,TP de Oro,Best Animation Series (Mejor Serie de Animación),desconocido,desconocido
1137,2002,TP de Oro,Best Animation Series (Mejor Serie de Animación),desconocido,desconocido
1142,2000,Star on the Walk of Fame,Television,desconocido,desconocido
1143,1998,WAC Winner,Best Animation Produced for Primetime,Josh Weinstein,S7-E21
1144,1998,WAC Winner,Best Director for Primetime Series,Mike B. Anderson,S8-E15
1145,1997,WAC Winner,Best Animation Produced for a Television Special,desconocido,S7-E6
1146,2020,WGA Award (TV),Animation,Dan Vebber,S31-E8
1149,2019,WGA Award (TV),Animation,Stephanie Gillis,S30-E1
1157,2015,WGA Award (TV),Animation,Brian Kelley,S25-E20
1161,2014,WGA Award (TV),Animation,Joel H. Cohen,S24-E10
1165,2013,WGA Award (TV),Animation,Jeff Westbrook,S23-E21
1169,2012,WGA Award (TV),Animation,Joel H. Cohen,S22-E12
1175,2010,WGA Award (TV),Animation,Joel H. Cohen,S20-E15
1181,2009,WGA Award (TV),Animation,Jeff Westbrook,S19-E17
1210,2008,WGA Award (TV),Animation,Jeff Westbrook,S18-E9
1214,2007,WGA Award (TV),Animation,John Frink,S17-E8
1219,2006,WGA Award (TV),Animation,Michael Price,S16-E7
1225,2005,Paul Selvin Honorary Award,Paul Selvin Honorary Award,Don Payne,S15-E22
1226,2005,WGA Award (TV),Animation,Ian Maxtone-Graham,S15-E18
1231,2004,WGA Award (TV),Animation,Matt Selman,S14-E8
1238,2004,Young Artist Award,Most Popular Mom & Pop in a Television Series,Julie Kavner,desconocido
1239,2004,Young Artist Award,Most Popular Mom & Pop in a Television Series,Dan Castellaneta,desconocido
1242,2007,Sid Caesar Comedy Award,Sid Caesar Comedy Award,desconocido,S17-E16
1243,1997,Peabody Award,Peabody Award,desconocido,desconocido
